Name	Set	ImageFile	Type	Attribute	Rarity	Cost	Total Cost	Race	Trait	ATK	DEF	Divinity	Text
Aesop, the Prince’s Tutor	CMF	CMF-001	Resonator	Light	Uncommon	{W} {1}	2	Human		500	500		[Continuous] Each Fairy Tale you control cannot be targeted by spells or abilities your opponent controls.
Blinded Prince	CMF	CMF-002	Resonator	Light	Common	{W} {1}	2	Fairy Tale/Human/Prince		800	800		[Continuous] This card cannot attack or block. <br/>[Activate] Pay {0}: This card loses all abilities until the end of the Turn. You cannot play this ability if you don't control "Rapunzel, the Long-Haired Princess".
Clothes Tailor	CMF	CMF-003	Resonator	Light	Common	{W}	1	Fairy Tale/Human		300	300		[Activate] {Rest}: Move target [Addition: Resonator] you control onto another resonator.
Dream of Juliet	CMF	CMF-004	Spell: Chant-Instant	Light	Common	{W} {1}	2						Choose one. If you control "Juliet, the Hope" and "Romeo, the Despair", choose up to three instead - Destroy target addition: or draw a card; or remove target resonator from the game, then put it into its owner's field.
Grimm, the Fairy Tale Prince	CMF	CMF-005	Ruler	Light	Rare			Human					[Continuous] You may pay the attribute cost of Fairy Tale resonators with will of any attribute. <br/>[Activate] Pay {1}, discard a Fairy Tale resonator: Search your main deck for a Fairy Tale resonator, reveal it and put into your hand. Then shuffle your main deck. This ability can be played only once per turn.
Holy Grail	CMF	CMF-006	Addition: Field	Light	Common	{W}	1						[Enter] Destroy target addition. <br/>[Activate] {Rest}: Remove all damage that was dealt to target J-Ruler this turn.
Jeweled Branch of Horai	CMF	CMF-007	Addition: Field (Treasury Item)	Light	Uncommon	{W} {1}	2		Treasury Item				[Activate] Pay {W}, {Rest}: Rest up to two target fire or dark resonators.
Juliet, the Hope	CMF	CMF-008	Resonator	Light	Super	{W} {1}	2	Fairy Tale/Human		200	600		[Continuous] This card cannot be destroyed as long as you control "Romeo, the Despair". <br/>[Continuous] As long as you control "Romeo, the Despair", each Nightmare resonator loses Nightmare and gains Fairy Tale.
King’s Servant	CMF	CMF-009	Resonator	Light	Common	{W} {1}	2	Fairy Tale/Human		400	400		[Enter] Put target [Addition: Resonator] from your graveyard into your hand.
Knight of Loyalty	CMF	CMF-010	Resonator	Light	Common	{W} {W} {1}	3	Human/Knight		700	700		[Activate] Banish a card: Target light J/resonator you control cannot be targeted by spells or abilities until the end of turn.
Light of Hope	CMF	CMF-011	Spell: Chant-Standby	Light	Common	{W} {1}	2						[Trigger] Your life is 2000 or lower: Put target attacking resonator on top of its owner's main deck. Resonators cannot attack until end of turn.
Light Palace, the King’s Castle	CMF	CMF-012	Addition: Field	Light	Rare	{W} {1}	2						[Continuous] Each Human you control gains [+200/+200]. <br/>[Activate] Pay {W}, banish this card: Destroy target addition.
Pandora, Girl of the Box	CMF	CMF-013,CMF-013J	Ruler	Void	Rare			Human					[J-Activate] Pay {W}, {B}, {3}.
Pandora of Light	CMF	CMF-013J,CMF-013	J-Ruler	Light	Rare			Human		400	80		[Enter] Destroy all resonators.
Rapunzel, the Long-Haired Princess	CMF	CMF-014	Resonator	Light	Super	{W} {W} {1}	3	Fairy Tale/Human		600	600		[Continuous] This card doesn't recover during the recovery phase. <br/>[Activate] Rest a recovered resonator you control other than "Rapunzel, the Long-Haired Princess": Recover this card. <br/>[Activate] {Rest}: Target resonator gains [+200/+0] and [Flying] until end of turn.
Return to Stories	CMF	CMF-015	Spell: Chant-Instant	Light	Uncommon	{W} {1}	2						Remove target Nightmare or Fairy Tale resonator from the game.
Silver Stake	CMF	CMF-016	Addition: Resonator	Light	Common	{W}	1						[Continuous] Resonator with this cannot attack or block if it's a Vampire. Otherwise, it gains [+400/+400], it cannot be targeted by Vampire spells or Vampire card's abilities and prevent any damage it would be dealt by Vampires. <br/>[Activate] Pay {W}: Return this card to it's owner's hand.
Tell a Fairy Tale	CMF	CMF-017	Spell: Chant	Light	Rare	{W} {2}	3						Search your main deck for a Fairy Tale resonator, reveal it and put it into your hand. If your Ruler is "Grimm, the Fairy Tale Prince", you may put it into your field instead. This triggers its [Enter] ability. Then shuffle your main deck.
The Emperor with New Clothes	CMF	CMF-018	Resonator	Light	Uncommon	{W} {2}	3	Fairy Tale/Human		700	700		[Enter] Destroy all [Addition: Resonator] your opponent controls. <br/>[Continuous] Opponents cannot add [Addition: Resonator].
Tinker Bell, the Spirit	CMF	CMF-019	Resonator	Light	Rare	{W}	1	Fairy Tale/Spirit		0	0		[Continuous] This card gains [+200/+200] for each Fairy Tale you control.
Basket of Little Red	CMF	CMF-020	Addition: Resonator	Fire	Common	{R} {R}	2						[Continuous] Resonator with this gains  [Activate] {Rest}: Search your main deck for a card with "Apple" in its name, reveal it and put into your hand. Then shuffle your main deck". <br/>[Activate] Pay {R}: Return this card to it's owner's hand.
Bloody Moon	CMF	CMF-021	Addition: Field	Fire	Rare	{R} {2}	3						[Continuous] Each Werewolf you control gains [+200/+200]. <br/>[Activate] Banish this card: Destroy target special magic stone.
Clockwork Apple Bomb	CMF	CMF-022	Spell: Chant-Standby	Fire	Common	{R} {2}	3						[Trigger] If your Ruler is "Snow White" or your J-Ruler is "Bloody Snow White": Destroy blocking resonator and blocked resonator. This card deals 500 damage to each controller of those resonators.
Commander of Wolves	CMF	CMF-023	Resonator	Fire	Rare	{R} {3}	4	Nightmare/Werewolf		900	500		[Enter] This card deals 400 damage to target resonator for each Werewolf you control.
Gilles de Rais, the Golden Dragon	CMF	CMF-024	Resonator	Fire	Super	{R} {R} {4}	6	Fantasy/Dragon		800	1200		[Flying] <br/>[Swiftness] (This card can attack and activate its {Rest} ability in a turn it comes into a field.) <br/>[Continuous] This card gains [+200/+0] for each of your fire magic stone. <br/>[Continuous] When this card is destroyed, you may banish three of your fire magic stones. If you do, put this card from its owner's graveyard into its owner's field.
Granny by the Fireplace	CMF	CMF-025	Resonator	Fire	Common	{R} {2}	3	Fairy Tale/Human		100	1200		[Continuous] Whenever a Werewolf comes into a field: swap ATK and DEF of this card until end of turn.
Hunter in Black Forest	CMF	CMF-026	Resonator	Fire	Common	{R}	1	Fairy Tale/Human		300	300		[Swiftness]  (This card can attack and activate its {Rest} ability in a turn it comes into a field.)
Little Red Riding Hood	CMF	CMF-027,CMF-027J	Ruler	Fire	Rare			Little Girl					[J-Activate] Pay {0}: You cannot play this ability if you haven't put any Moon into a field this turn.
Little Red, Wolf Girl	CMF	CMF-027J,CMF-027	J-Ruler	Fire	Rare			Little Wolf-Girl		1200	200		[Swiftness] (This card can attack and activate its {Rest} ability in a turn it comes into a field.) <br/>[Enter] This card deals 800 damage to target resonator. <br/>[Continuous] At end of turn, return this card to is Ruler side.
Loup-Garou, the New Moon	CMF	CMF-028	Resonator	Fire	Super	{R} {R} {R}	3	Nightmare/Werewolf		700	700		[Continuous] Each Werewolf you control gains [Swiftness]. <br/>[Continuous] Whenever a Werewolf you control attacks, this card deals 100 damage to an opponent. If you control a Moon, this card deals 200 damage instead.
Moon Night Pouncer	CMF	CMF-029	Resonator	Fire	Uncommon	{R} {1}	2	Nightmare/Werewolf		500	500		[Continuous] Whenever you play a normal spell, this card gains [First Strike] and [Swiftness] until end of turn.
Murderous Snowman	CMF	CMF-030	Resonator	Fire	Common	{R} {1}	2	Nightmare/Snow		900	900		[Enter] Banish one magic stone you control.
Poison Apple	CMF	CMF-031	Spell: Chant-Instant	Fire	Common	{R} {1}	2						Target resonator you control gains [+1000/+0] until end of turn. At the end of turn, destroy that resonator.
Purifying Fire	CMF	CMF-032	Spell: Chant	Fire	Uncommon	{R} {1}	2						Choose one. If your Ruler is "Nameless Girl" or your J-Ruler is "Jeanne d'Arc, the Flame of Hatred", choose up to two instead - This card deals 700 damage to target player; or this card deals 1000 damage to target Human.
Red Hot Iron Shoes	CMF	CMF-033	Addition: Resonator	Fire	Common	{R} {1}	2						[Continuous] Whenever resonator with this becomes rested, this card deals 500 damage to that resonator's controller.
Robe of Fire-Rat	CMF	CMF-034	Addition: Field (Treasury Item)	Fire	Uncommon	{R} {1}	2		Treasury Item				[Activate] {Rest}: Prevent all damage from target fire resonator until end of turn.
Seven Dwarfs	CMF	CMF-035	Resonator	Fire	Common	{R} {R}	2	Nightmare/Killer		700	700		[Continuous] This card must attack if able. <br/>[Continuous] As you choose a card to attack, you must choose this card if able.
Snow White	CMF	CMF-036,CMF-036J	Ruler	Fire	Rare			Human					[J-Activate] Pay {W}, {R} and {2}. <br/>[J-Activate] Pay {1}, discard "Poison Apple".
Bloody Snow White	CMF	CMF-036J,CMF-036	J-Ruler	Fire	Rare			Nightmare/Human		1300	1300		[Target Attack] (This card can attack recovered J/resonator.) <br/>[Activate] {Rest}: Rest target J/resonator. <br/>[Activate] Pay {1}, discard "Poison Apple": Destroy target resonator.
Wolf-Haunted in Black Forest	CMF	CMF-037	Resonator	Fire	Uncommon	{R}	1	Nightmare/Werewolf		500	300		[Continuous] When this card is destroyed, if you don't control any Moon, this card deals 500 damage to you.
Thunder	CMF	CMF-038	Spell: Chant-Instant	Fire	Rare	{R}	1						This card deals 500 damage to target player or J/resonator.
Archer of the Crescent Moon	CMF	CMF-039	Resonator	Water	Common	{U} {1}	2	Wererabbit		200	200		[Flying] (This card cannot be blocked be resonators without [Flying].) <br/>[Continuous] This card gains [+300/+300] for each other Wererabbit you control.
Charles VII	CMF	CMF-040	Resonator	Water	Uncommon	{U} {2}	3	Nightmare/Human		600	600		[Activate] Pay {1}, banish a Human resonator: Draw a card. <br/>[Activate] Pay {1}, banish a Human resonator: Return target resonator to its owner's hand.
Deep Ones	CMF	CMF-041	Resonator	Water	Super	{U} {1}	2	Cthulhu		0	200		[Continuous] This card gains[+200/+200] for each resonator in your graveyard.
Five Challenges	CMF	CMF-042	Spell: Chant-Standby	Water	Common	{U} {1}	2						[Trigger] Anytime: Draw a card. If you control five or more Treasury Items, return all resonators your opponent controls to their owner's hands instead. <br/>[Continuous] When you put a Treasury Item into a field, put this card from your graveyard into your hand.
Hamelin’s Pied Piper	CMF	CMF-043	Resonator	Water	Rare	{U} {U} {3}	5	Fairy Tale/Mage		1000	1000		[Enter] Rest target resonator your opponent controls. It doesn't recover during the recovery phase as long as this card is on a field. <br/>[Continuous] Whenever this card attacks, rest target resonator your opponent controls. It doesn't recover during the recovery phase as long as this card is on a field.
Heavenly Feathered Robe	CMF	CMF-044	Addition: Resonator (Treasury Item)	Water	Uncommon	{U} {U} {U}	3		Treasury Item				[Continuous] Add this to a resonator with total cost 2 or less and gain control of it. Attribute of that resonator becomes water.
Inquisition	CMF	CMF-045	Spell: Chant	Water	Rare	{U}	1						Rest two recovered resonators you control. If your Ruler is "Nameless Girl" or your J-Ruler is "Jeanne d'Arc, the Flame of Hatred", rest one recovered resonator you control instead. If you do, destroy target resonator. Its controller may copy this spell and may choose new targets for the copy.
Knight of the New Moon	CMF	CMF-046	Resonator	Water	Common	{U}	1	Wererabbit/Knight		0	200		[Activate] {Rest}: Draw a card, then discard a card.
Nameless Girl	CMF	CMF-047,CMF-047J	Ruler	Water	Rare			Human					[J-Activate] Pay {R}, {U}, {2}: If a Human is put into your graveyard from a field this turn, you may pay {0} to play this ability instead.
Jeanne d’Arc, the Flame of Hatred	CMF	CMF-047J,CMF-047	J-Ruler	Water	Rare			Human		1200	1200		[Enter] Destroy all other Humans. <br/>[Activate] {Rest}: Prevent all damage from target Human resonator until end of turn. <br/>[Activate] Pay {R}, {1}: This card deals 500 damage to target Human.
One-Inch Boy	CMF	CMF-048	Resonator	Water	Common	{U} {1}	2	Fairy Tale/Human		100	300		[Continuous] Whenever this card deals damage to a resonator, destroy the resonator.
Pale Moon	CMF	CMF-049	Addition: Field	Water	Rare	{U} {2}	3		Moon				[Continuous] Each Wererabbit you control gains [+200/+200]. <br/>[Activate] Pay {U}, banish this card: Return target resonator to its owner's hand.
Rabbit Kick	CMF	CMF-050	Spell: Chant-Instant	Water	Uncommon	{U} {U}	2						Choose one - Return target resonator to its owner's hand; or return up to two target resonators to their owner's hand if your control a Wererabbit resonator.
Rat Catcher’s Pipe	CMF	CMF-051	Addition: Resonator	Water	Common	{U}	1		Arcane Item				[Continuous] Resonator with this gains " [Activate] {Rest}: Rest target resonator." <br/>[Continuous] If the resonator with this is "Hamelin's Pied Piper", it gains " [Activate] Pay {U}: Recover this card." <br/>[Activate] Pay {U}: Return this card to its owner's hand.
Seer of the Blue Moon	CMF	CMF-052,CMF-052J	Ruler	Water	Rare			Human					[J-Activate] Pay {0}: You cannot play this ability if you haven't put any Treasury Item into a field this turn. <br/>[Continuous] You pay {1} to put cards into your chant-standby area rather than pay {2}.
Kaguya, Princess of the Moon	CMF	CMF-052J,CMF-052	J-Ruler	Water	Rare			Human		0	0		[Activate] Pay {0}: Change the text of target Treasury Item you control by replacing all instances of one attribute with another one until end of turn. <br/>[Activate] Pay {U} {U}, {1}: Search your main deck for a Treasury Item, reveal it and put it into your hand. Then shuffle your main deck.
Servant of Kaguya	CMF	CMF-053	Resonator	Water	Common	{U} {2}	3	Wererabbit		400	400		[Flying] <br/>[Continuous] This card gains [+400/+400] for each Treasury Item you control.
Squirmer of the Dark	CMF	CMF-054	Resonator	Water	Common	{U} {2}	3	Cthulhu		1000	1000		[Continuous] At the beginning of your main phase, put the top three cards from your magic stone deck into your graveyard. If you cannot put three cards into your graveyard this way, banish this card and you lose 1000 life. (If you have less than three cards in your magic stone deck left, put all cards from your magic stone deck into your graveyard instead.)
Stone Bowl of Buddha	CMF	CMF-055	Addition: Field (Treasury Item)	Water	Uncommon	{U}	1		Treasury Item				[Activate] {Rest}: Target resonator cannot be blocked by water resonators until end of turn.
Swordsman of the Full Moon	CMF	CMF-056	Resonator	Water	Super	{U} {U} {2}	4	Wererabbit		900	900		[Flying] (This card cannot be blocked be resonators without [Flying].) <br/>[Enter] Return target resonator to its owner's hand.
Voice of the False God	CMF	CMF-057	Spell: Chant-Instant	Water	Common	{U} {1}	2						Banish a resonator you control. If you do, draw two cards. If you banished a Human in this way, draw three cards instead.
Absolute Cake Zone	CMF	CMF-058	Spell: Chant-Instant	Wind	Common	{G} {1}	2						Cancel target normal spell. If you control "Hansel" or "Gretel", draw a card.
Aramis, the Three Musketeers	CMF	CMF-059	Resonator	Wind	Uncommon	{G} {G} {1}	3	Fairy Tale/Musketeer		500	500		[Enter] Produce {G} for each Musketeer resonator you control.
Athos, the Three Musketeers	CMF	CMF-060	Resonator	Wind	Super	{G} {G} {2}	4	Fairy Tale/Musketeer		800	800		[Enter] Search your main deck for an [Addition: Resonator], reveal it and put it into your hand. If your Ruler is "Puss in Boots" or your J-Ruler is "D'Artagnan, the Bayoneteer", you may put that card on to this card instead. Then shuffle your main deck.
Christie, the Wind Tracker	CMF	CMF-061,CMF-061J	Ruler	Wind	Rare			Elf					[J-Activate] Pay {G}, {2}: If your opponent controls a Vampire, Immortal of Werewolf resonator, you may pay {0} to play this ability instead. <br/>[Activate] {Rest}: Draw a card. You cannot play this ability if you don't have exactly five cards in your hand.
Helsing, the Vampire Hunter	CMF	CMF-061J,CMF-061	J-Ruler	Wind	Rare			Elf		1000	1000		[Enter] Target non-Human J/resonator loses all abilities until end of turn. At the end of turn, destroy it.
Cottage of Cakes	CMF	CMF-062	Addition: Field	Wind	Rare	{G}	1		House				[Continuous] "Hansel" and "Gretel" you control cannot be targeted by spells or abilities you opponent controls. <br/>[Activate] Pay {G}, {Rest}: Remove target resonator you control from the game. <br/>[Activate] Pay {U}, {Rest}, banish this card: Return all resonators removed from the game by this card into your field.
Cowrie of Swallows	CMF	CMF-063	Addition: Field (Treasury Item)	Wind	Uncommon	{G} {G} {1}	4		Treasury Item				[Activate] {Rest}: Target wind resonator cannot be targeted by spells or abilities your opponent controls until end of turn.
Crucifix	CMF	CMF-064	Addition: Resonator	Wind	Common	{G} {G}	2		Weapon				[Continuous] Resonator with this gains [-1000/-1000] if its a Vampire. Otherwise it cannot be attacked or targeted by spells or abilities your opponent controls.
Elvish Bowman	CMF	CMF-065	Resonator	Wind	Common	{G}	1	Elf		300	300		[Activate] {Rest}: Destroy target addition.
Elvish Exorcist	CMF	CMF-066	Resonator	Wind	Common	{G} {1}	2	Elf		500	500		[Enter] Destroy target Vampire resonator.
Elvish Priest	CMF	CMF-067	Resonator	Wind	Common	{G}	1	Elf		100	400		[Activate] {Rest}: Produce {G}.
Fina, the Silver Player	CMF	CMF-068	Resonator	Wind	Rare	{G} {G} {1}	3	Elf		400	400		[Continuous] If your Ruler is "Christie, the Wind Tracker" or your J-Ruler is "Helsing, the Vampire Hunter", each resonator your opponent controls loses its symbol skills. <br/>[Continuous] Each other Elf you control gains [+400/+400].
Gretel	CMF	CMF-069	Resonator	Wind	Uncommon	{G} {1}	2	Fairy Tale/Human		200	200		[Enter] Reveal the top card of your magic stone deck, if it's a wind magic stone, put it into your magic stone area.
Hansel	CMF	CMF-070	Resonator	Wind	Super	{G} {G} {1}	3	Fairy Tale/Human		400	700		[Continuous] This card cannot be attacked as long as you control "Gretel". <br/>[Continuous] Whenever this card deals damage to an opponent, draw a card.
Law of Silence	CMF	CMF-071	Spell: Chant-Instant	Wind	Rare	{G} {G}	2						Target player cannot play normal spells and summon spells until end of turn.
Musketeer’s Bayonet	CMF	CMF-072	Addition: Resonator	Wind	Common	{G}	1		Weapon				[Continuous] Resonator with this gains [+400/+0]. If it's a Musketeer, it also gains [First Strike] and [Pierce].
Porthos, the Three Musketeers	CMF	CMF-073	Resonator	Wind	Common	{G} {G} {1}	3	Fairy Tale/Musketeer		700	400		[Pierce] (If this card deals more battle damage than the lethal damage to J/resonator, it deals excess damage to your opponent.)
Puss in Boots	CMF	CMF-074,CMF-074J	Ruler	Wind	Rare			Fairy Tale/Cat					[J-Activate] Pay {9}: If you control "Athos, the Three Musketeers", you pay {3} less to play this ability. So does "Aramis, the Three Musketeers" and "Porthos, the Three Musketeers". <br/>[Continuous] You may pay {1} less to play Musketeer resonators.
D’Artagnan, the Bayoneteer	CMF	CMF-074J,CMF-074	J-Ruler	Wind	Rare			Fairy Tale/Musketeer		1000	800		[Pierce] <br/>[Target Attack] <br/>[Continuous] Each Musketeer resonator you control gains [+400/+400].
Siege Warfare	CMF	CMF-075	Spell: Chant-Standby	Wind	Common	{G} {G} {3}	5						[Trigger] You Ruler is "Puss in Boots" or your J-Ruler is "D'Artagnan, the Bayoneteer", and you control "Athos, the Three Musketeers", "Porthos, the Three Musketeers" and "Aramis, the Three Musketeers": Destroy target resonator or J-Ruler.
Silver Bullet	CMF	CMF-076	Spell: Chant	Wind	Uncommon	{G} {1}	2						If your Ruler is "Christie, the Wind Tracker" or your J-Ruler is "Helsing, the Vampire Hunter", you may pay {1} less to play this card. <br/>Search your main deck for a wind resonator, reveal it and put it into your hand. Then shuffle your main deck.
Alucard, the Dark Noble	CMF	CMF-077,CMF-077J	Ruler	Darkness	Rare			Vampire					[J-Activate] Pay {0}: You cannot play this ability if you don't control a Vampire resonator and a resonator your opponent controlled hasn't entered a graveyard this turn. <br/>[Activate] {Rest}: Target resonator gains [-0/-300] until end of turn.
Dracula, the Demonic One	CMF	CMF-077J,CMF-077	J-Ruler	Darkness	Rare			Vampire					[Flying] (This card cannot be blocked by resonators without [Flying].) <br/>[Imperishable] (If this card would be destroyed, move this card to your Ruler area as a Ruler without losing any abilities.) <br/>[Continuous] Whenever a resonator your opponent controls is put into a graveyard, if it was dealt damage by this card this turn, put it into your field under your control. It gains Nightmare and Vampire in addition to its own race.
Alvarez, the Demon Castle	CMF	CMF-078	Addition: Field	Darkness	Rare	{B} {1}	2		Castle				[Continuous] Each Vampire you control gains [+200/+200]. <br/>[Activate] Pay {B}, banish this card: Put target Vampire resonator from your graveyard into your hand.
Black Coffin of Vampires	CMF	CMF-079	Addition: Resonator	Darkness	Common	{B} {B}	2		Tool				[Continuous] Vampire resonator with this cannot be targeted by spells or abilities your opponent controls. Otherwise, it cannot attack or block. <br/>[Activate] Pay {B}: Return this card to its owner's hand.
Bloodsucking Impulse	CMF	CMF-080	Spell: Chant-Instant	Darkness	Common	{B} {1}	2						Target Vampire you control deals damage equal to its ATK to another target resonator. Then you gain life equal to half of that much damage. (Rounded up to the nearest 100.)
Carmilla, the Queen of Vampires	CMF	CMF-081	Resonator	Darkness	Super	{B} {B} {2}	4	Vampire		800	800		[Enter] Destroy target non-Vampire resonator. If your Ruler is "Alucard, the Dark Noble" or your J-Ruler is "Dracula, the Demonic One", and the resonator destroyed this way is a Human, put it into your field under your control. It loses all races and becomes a Vampire.
Cinderella, the Ashen	CMF	CMF-082	Resonator	Darkness	Super	{B} {B}	2	Nightmare/Human		400	400		[Continuous] Whenever this card deals damage to your opponent, you may search your main deck for a Prince resonator, reveal it and put it into your hand. Then shuffle your main deck. <br/>[Activate] Banish a resonator: This card deals 200 damage to each resonator your opponent controls.
Deadman Prince	CMF	CMF-083	Resonator	Darkness	Common	{B} {2}	3	Nightmare/Immortal/Prince		500	500		[Enter] Put target resonator from your graveyard into your hand.
Jewels on Dragon’s Neck	CMF	CMF-084	Addition: Field (Treasury Item)	Darkness	Uncommon	{B} {2}	3		Treasury Item				[Activate] Pay {B}, {Rest}: Put target dark addition from your graveyard into your hand.
Lora, the Blood Speaker	CMF	CMF-085	Resonator	Darkness	Uncommon	{B} {1}	2	Vampire		300	300		[Enter] Search your main deck for a Vampire resonator, reveal it and put it into your hand. Then shuffle your main deck.
Midnight Bell	CMF	CMF-086	Spell: Chant-Standby	Darkness	Common	{B} {1}	2						[Trigger] Total number of all resonators and all magic stones is twelve: Each resonator your opponent controls loses all abilities and becomes [0/200] until end of turn.
Pandora, Girl of the Box	CMF	CMF-087,CMF-087J	Ruler	Void	Rare			Human					[J-Activate] Pay {W}, {B}, {3}.
Pandora of Dark	CMF	CMF-087J,CMF-087	J-Ruler	Darkness	Rare			Human		400	800		[Enter] Your opponent discards all cards from his or her hand.
Pumpkin Witch	CMF	CMF-088	Resonator	Darkness	Common	{B} {2}	3	Nightmare/Witch		300	800		[Enter] Each resonator you control gains [Flying] and [Swiftness] until end of turn.
Resurrection of Vampire	CMF	CMF-089	Spell: Chant-Instant	Darkness	Uncommon	{B} {B} {2}	4						Put a Vampire resonator from your graveyard into your field. This triggers its [Enter] ability.
Romeo, the Despair	CMF	CMF-090	Resonator	Darkness	Uncommon	{B}	1	Nightmare/Immortal		300	300		[Continuous] When this card is put into your graveyard from a field, if you control "Juliet, the Hope", you may pay {B}. If you do, put this card from your graveyard into your field.
Servant of Vampire	CMF	CMF-091	Resonator	Darkness	Common	{B}	1	Vampire		200	200		[Continuous] As your opponent plays spells or abilities targeting a Vampire you control, he or she must choose this card as one of its target if able.
Slipper of Cinderella	CMF	CMF-092	Addition: Resonator	Darkness	Common	{B}	1		Arcane Item				[Continuous] Resonator with this gains [+600/+600] if it's dark and its printed ATK and DEF is [400/400]. Otherwise, it gains [-400/-400].
Spiral of Despair	CMF	CMF-093	Spell: Chant	Darkness	Rare	{B} {B}	2						Your opponent discards two cards. If your Ruler is "Pandora, Girl of the Box" or your J-Ruler is "Pandora of Light" or "Pandora of Dark", he or she discards two cards at random instead.
Vampire Bat	CMF	CMF-094	Resonator	Darkness	Common	{B} {1}	2	Vampire		0	200		[Flying] (This card cannot be blocked by resonators without [Flying].) <br/>[Continuous] Whenever this card deals damage, you gain that much life. <br/>[Activate] Pay {B}: This card gains [+200/+0] until end of turn.
Vampire’s Staff	CMF	CMF-095	Resonator	Darkness	Rare	{B} {1}	2	Vampire		400	400		[Continuous] At the beginning of your recovery phase, reveal the top card of your main deck. This card deals 100 damage to target player for each will symbol on the revealed card attribute cost and you gain that much life.
Magic Stone of Black Silence	CMF	CMF-096	Special Magic Stone	Wind/Darkness	Rare								[Continuous] Treat this card as wind magic stone and dark magic stone. <br/>[Activate] {Rest}: Produce {G} or {B}.
Magic Stone of Deep Wood	CMF	CMF-097	Special Magic Stone	Wind/Water	Rare								[Continuous] Treat this card as wind magic stone and water magic stone. <br/>[Activate] {Rest}: Produce {G} or {B}.
Magic Stone of Hearth’s Core	CMF	CMF-098	Special Magic Stone	Fire/Water	Rare								[Continuous] Treat this card as fire magic stone and water magic stone. <br/>[Activate] {Rest}: Produce {R} or {U}.
Magic Stone of Heat Ray	CMF	CMF-099	Special Magic Stone	Light/Fire	Rare								[Continuous] Treat this card as light magic stone and fire magic stone. <br/>[Activate] {Rest}: Produce {W} or {R}.
Magic Stone of Heaven’s Rift	CMF	CMF-100	Special Magic Stone	Light/Darkness	Rare								[Continuous] Treat this card as light magic stone and dark magic stone. <br/>[Activate] {Rest}: Produce {W} or {B}.
Magic Stone of Darkness	CMF	CMF-101	Magic Stone										[Activate] {Rest}: Produce {B}.
Magic Stone of Flame	CMF	CMF-102	Magic Stone										[Activate] {Rest}: Produce {R}.
Magic Stone of Light	CMF	CMF-103	Magic Stone										[Activate] {Rest}: Produce {W}.
Magic Stone of Water	CMF	CMF-104	Magic Stone										[Activate] {Rest}: Produce {U}.
Magic Stone of Wind	CMF	CMF-105	Magic Stone										[Activate] {Rest}: Produce {G}.
Breath of the God	TAT	TAT-001	Spell: Chant-Instant	Light	Common	{W} {1}	2						You may pay {W}, {1} less to play this card, if it targets a Saint. <br/>Target J/resonator you control cannot be targeted by spells or abilities until end of turn. Draw a card.
Caterina, the Saint of Fantasy	TAT	TAT-002	Resonator	Light	Uncommon	{W} {W} {1}	3	Fantasy/Saint		600	600		[Continuous] Other resonators you control gain [+100/+100].
